Team,W,L,ERA,SO,WHIP,FIP
Brewers,68,94,4.28,1260,1.36,4.17
Red Sox,78,84,4.34,1218,1.36,4.17
Reds,64,98,4.35,1252,1.36,4.24
Braves,67,95,4.41,1148,1.41,4.34
Tigers,74,87,4.64,1100,1.37,4.46
Phillies,63,99,4.69,1153,1.45,4.4
Rockies,68,94,5.04,1112,1.51,4.56
Cubs,103,58,3.15,1441,1.11,3.77
Nationals,95,67,3.52,1476,1.19,3.58
Mets,87,75,3.58,1396,1.27,3.57
Giants,87,75,3.69,1309,1.21,3.76
Dodgers,91,71,3.7,1510,1.19,3.61
Blue Jays,89,73,3.79,1314,1.23,4.04
Indians,94,67,3.86,1398,1.24,3.91
Mariners,86,76,4,1318,1.28,4.3
Red Sox,93,69,4,1362,1.27,4
Marlins,79,82,4.05,1379,1.36,3.97
Astros,84,78,4.06,1396,1.29,3.85
Cardinals,86,76,4.08,1290,1.32,3.88
Brewers,73,89,4.1,1175,1.38,4.37
White Sox,78,84,4.12,1270,1.34,4.27
Yankees,84,78,4.16,1393,1.26,4.2
Rays,68,94,4.2,1357,1.32,4.26
Royals,81,81,4.21,1287,1.35,4.42
Orioles,89,73,4.22,1248,1.36,4.31
Pirates,78,83,4.22,1232,1.4,4.3
Tigers,86,75,4.24,1232,1.32,4.16
Angels,74,88,4.28,1136,1.39,4.62
Rangers,95,67,4.38,1154,1.37,4.58
Padres,68,94,4.44,1222,1.38,4.4
Braves,68,93,4.51,1227,1.35,4.32
Athletics,69,93,4.51,1188,1.34,4.24
Phillies,71,91,4.64,1299,1.35,4.34
Reds,68,94,4.91,1241,1.45,5.24
Rockies,75,87,4.92,1223,1.45,4.38
Twins,59,103,5.09,1191,1.45,4.57
Diamondbacks,69,93,5.09,1318,1.49,4.5
Indians,102,60,3.3,1614,1.16,3.33
Dodgers,104,58,3.38,1549,1.15,3.67
Diamondbacks,93,69,3.67,1482,1.27,3.8
Red Sox,93,69,3.73,1580,1.25,3.78
Yankees,91,71,3.75,1560,1.21,3.88
Nationals,97,65,3.88,1457,1.24,3.99
Cubs,92,70,3.95,1439,1.28,4.2
Rays,80,82,3.99,1352,1.26,4.17
Brewers,86,76,4,1346,1.34,4.24
Cardinals,83,79,4.01,1351,1.3,4.09
Astros,101,61,4.12,1593,1.27,3.91
Angels,80,82,4.2,1312,1.28,4.43
Pirates,75,87,4.23,1262,1.37,4.23
Blue Jays,76,86,4.42,1372,1.37,4.31
Mariners,78,84,4.46,1244,1.31,4.7
